CONCELHO,CÓDIGO,FREGUESIA
ELVAS,120715,TERRUGEM
ENTRONCAMENTO,141001,SAO JOAO BAPTISTA
ENTRONCAMENTO,141002,NOSSA SENHORA DE FATIMA
ESPINHO,10702,ESPINHO
ESPINHO,10704,PARAMOS
ESPINHO,10705,SILVALDE
ESPINHO,10706,ANTA
ESPOSENDE,30601,ANTAS
ESPOSENDE,30608,FORJAES
ESPOSENDE,30610,GEMESES
ESPOSENDE,30615,VILA CHA
ESPOSENDE,30616,APULIA
ESPOSENDE,30617,BELINHO
ESPOSENDE,30618,ESPOSENDE
ESPOSENDE,30619,FONTE BOA
ESPOSENDE,30620,PALMEIRA DE FARO
ESTARREJA,10801,AVANCA
ESTARREJA,10805,PARDILHO
ESTARREJA,10806,SALREU
ESTARREJA,10808,BEDUIDO
ESTARREJA,10809,CANELAS
ESTREMOZ,70401,ARCOS
ESTREMOZ,70402,GLORIA
ESTREMOZ,70404,EVORA MONTE
ESTREMOZ,70411,SAO DOMINGOS DE ANA LOURA
ESTREMOZ,70413,VEIROS
ESTREMOZ,70414,ESTREMOZ
ESTREMOZ,70415,SAO BENTO DO CORTICO
ESTREMOZ,70416,SAO LOURENCO DE MAMPORCAO
ESTREMOZ,70417,AMEIXIAL
EVORA,70502,NOSSA SENHORA DA GRACA DO DIVOR
EVORA,70503,NOSSA SENHORA DE MACHEDE
EVORA,70506,SAO BENTO DO MATO
EVORA,70509,SAO MIGUEL DE MACHEDE
EVORA,70513,TORRE DE COELHEIROS
EVORA,70515,CANAVIAIS
EVORA,70522,BACELO
EVORA,70523,EVORA
EVORA,70524,MALAGUEIRA
EVORA,70525,NOSSA SENHORA DA TOUREGA
EVORA,70526,SAO MANCOS
EVORA,70527,SAO SEBASTIAO DA GIESTEIRA
FAFE,30705,ARMIL
FAFE,30708,ESTORAOS
FAFE,30709,FAFE
FAFE,30712,FORNELOS
FAFE,30714,GOLAES
FAFE,30716,MEDELO
FAFE,30719,PASSOS
FAFE,30722,QUINCHAES
FAFE,30723,REGADAS
FAFE,30724,REVELHE
FAFE,30725,RIBEIROS
FAFE,30726,AROES
FAFE,30728,SAO GENS
FAFE,30729,SILVARES
FAFE,30733,TRAVASSOS
FAFE,30736,VINHOS
FAFE,30737,ABOIM
FAFE,30738,ROCHOSO
FAFE,30739,ANTIME
FAFE,30740,ARDEGAO
FAFE,30741,CEPAES
FAFE,30742,FREITAS
FAFE,30743,MONTE
FAFE,30744,MOREIRA DO REI
FARO,80503,SANTA BARBARA DE NEXE
FARO,80506,MONTENEGRO
FARO,80507,CONCEICAO
FARO,80508,FARO
FELGUEIRAS,130301,AIAO
FELGUEIRAS,130302,AIRAES
FELGUEIRAS,130305,FRIANDE
FELGUEIRAS,130306,IDAES
FELGUEIRAS,130307,JUGUEIROS
FELGUEIRAS,130313,PENACOVA
FELGUEIRAS,130314,PINHEIRO
FELGUEIRAS,130315,POMBEIRO DE RIBAVIZELA
FELGUEIRAS,130317,REFONTOURA
FELGUEIRAS,130318,REGILDE
FELGUEIRAS,130319,REVINHADE
FELGUEIRAS,130324,SENDIM
FELGUEIRAS,130334,MACIEIRA DA LIXA
FELGUEIRAS,130335,MARGARIDE
FELGUEIRAS,130336,PEDREIRA
FELGUEIRAS,130337,TORRADOS
FELGUEIRAS,130338,UNHAO
FELGUEIRAS,130339,VILA COVA DA LIXA
FELGUEIRAS,130340,VILA FRIA
FELGUEIRAS,130341,VILA VERDE
FERREIRA DO ALENTEJO,20803,FIGUEIRA DOS CAVALEIROS
FERREIRA DO ALENTEJO,20804,ODIVELAS
FERREIRA DO ALENTEJO,20807,ALFUNDAO
FERREIRA DO ALENTEJO,20808,FERREIRA DO ALENTEJO
FERREIRA DO ZEZERE,141101,AGUAS BELAS
FERREIRA DO ZEZERE,141103,BECO
FERREIRA DO ZEZERE,141104,CHAOS
FERREIRA DO ZEZERE,141106,FERREIRA DO ZEZERE
FERREIRA DO ZEZERE,141107,IGREJA NOVA DO SOBRAL
FERREIRA DO ZEZERE,141110,NOSSA SENHORA DO PRANTO
FERREIRA DO ZEZERE,141111,AREIAS
FIGUEIRA DA FOZ,60502,ALQUEIDAO
FIGUEIRA DA FOZ,60507,MAIORCA
FIGUEIRA DA FOZ,60508,MARINHA DAS ONDAS
FIGUEIRA DA FOZ,60512,TAVAREDE
FIGUEIRA DA FOZ,60513,VILA VERDE
FIGUEIRA DA FOZ,60514,SAO PEDRO
FIGUEIRA DA FOZ,60515,BOM SUCESSO
FIGUEIRA DA FOZ,60518,MOINHOS DA GANDARA
FIGUEIRA DA FOZ,60519,ALHADAS
FIGUEIRA DA FOZ,60520,BUARCOS
FIGUEIRA DA FOZ,60521,FERREIRA-A-NOVA
FIGUEIRA DA FOZ,60522,LAVOS
FIGUEIRA DA FOZ,60523,PAIAO
FIGUEIRA DA FOZ,60524,QUIAIOS
FIGUEIRA DE CASTELO RODRIGO,90403,CASTELO RODRIGO
FIGUEIRA DE CASTELO RODRIGO,90406,ESCALHAO
FIGUEIRA DE CASTELO RODRIGO,90408,FIGUEIRA DE CASTELO RODRIGO
FIGUEIRA DE CASTELO RODRIGO,90410,MATA DE LOBOS
FIGUEIRA DE CASTELO RODRIGO,90415,VERMIOSA
FIGUEIRA DE CASTELO RODRIGO,90418,ALGODRES
FIGUEIRA DE CASTELO RODRIGO,90419,ALMOFALA
FIGUEIRA DE CASTELO RODRIGO,90420,CINCO VILAS
FIGUEIRA DE CASTELO RODRIGO,90421,FREIXEDA DO TORRAO
FIGUEIRA DE CASTELO RODRIGO,90422,COLMEAL
FIGUEIRO DOS VINHOS,100801,AGUDA
FIGUEIRO DOS VINHOS,100802,AREGA
FIGUEIRO DOS VINHOS,100803,CAMPELO
FIGUEIRO DOS VINHOS,100806,FIGUEIRO DOS VINHOS
FORNOS DE ALGODRES,90501,ALGODRES
FORNOS DE ALGODRES,90502,CASAL VASCO
FORNOS DE ALGODRES,90504,FIGUEIRO DA GRANJA
FORNOS DE ALGODRES,90505,FORNOS DE ALGODRES
FORNOS DE ALGODRES,90507,INFIAS
FORNOS DE ALGODRES,90509,MACEIRA
FORNOS DE ALGODRES,90510,MATANCA
FORNOS DE ALGODRES,90511,MUXAGATA
FORNOS DE ALGODRES,90512,QUEIRIZ
FORNOS DE ALGODRES,90517,CORTICO
FORNOS DE ALGODRES,90518,JUNCAIS
FORNOS DE ALGODRES,90519,SOBRAL PICHORRO
FREIXO DE ESPADA A CINTA,40404,LIGARES
FREIXO DE ESPADA A CINTA,40406,POIARES
FREIXO DE ESPADA A CINTA,40407,FREIXO DE ESPADA A CINTA
FREIXO DE ESPADA A CINTA,40408,LAGOACA
FRONTEIRA,120801,CABECO DE VIDE
FRONTEIRA,120802,FRONTEIRA
FRONTEIRA,120803,SAO SATURNINO
FUNCHAL,310301,IMACULADO CORACAO DE MARIA
FUNCHAL,310302,MONTE
FUNCHAL,310303,FUNCHAL
FUNCHAL,310305,SANTO ANTONIO
FUNCHAL,310306,SAO GONCALO
FUNCHAL,310307,SAO MARTINHO
FUNCHAL,310309,SAO ROQUE
FUNDAO,50401,ALCAIDE
FUNDAO,50402,ALCARIA
FUNDAO,50403,ALCONGOSTA
FUNDAO,50406,ALPEDRINHA
FUNDAO,50408,BARROCA
FUNDAO,50410,BOGAS DE CIMA
FUNDAO,50411,CAPINHA
FUNDAO,50412,CASTELEJO
FUNDAO,50413,CASTELO NOVO
FUNDAO,50416,FATELA
FUNDAO,50419,LAVACOLHOS
FUNDAO,50420,ORCA
FUNDAO,50421,PERO VISEU
FUNDAO,50424,SILVARES
FUNDAO,50425,SOALHEIRA
FUNDAO,50426,SOUTO DA CASA
FUNDAO,50427,TELHADO
FUNDAO,50431,ENXAMES
FUNDAO,50432,TRES POVOS
FUNDAO,50433,JANEIRO DE CIMA
FUNDAO,50434,FUNDAO
FUNDAO,50435,POVOA DE ATALAIA
FUNDAO,50436,VALE DE PRAZERES
GAVIAO,120902,BELVER
GAVIAO,120903,COMENDA
GAVIAO,120905,MARGEM
GAVIAO,120906,GAVIAO
GOIS,60601,ALVARES
GOIS,60604,GOIS
GOIS,60605,VILA NOVA DO CEIRA
GOIS,60606,CADAFAZ
GOLEGA,141201,AZINHAGA
GOLEGA,141202,GOLEGA
GOLEGA,141203,POMBALINHO
GONDOMAR,130405,LOMBA
GONDOMAR,130408,RIO TINTO
GONDOMAR,130412,BAGUIM DO MONTE
GONDOMAR,130413,FANZERES
GONDOMAR,130414,FOZ DO SOUSA
GONDOMAR,130415,GONDOMAR
GONDOMAR,130416,MELRES
GOUVEIA,90602,ARCOZELO
GOUVEIA,90603,CATIVELOS
GOUVEIA,90605,FOLGOSINHO
GOUVEIA,90612,NESPEREIRA
GOUVEIA,90613,PACOS DA SERRA
GOUVEIA,90614,RIBAMONDEGO
GOUVEIA,90617,SAO PAIO
GOUVEIA,90619,VILA CORTES DA SERRA
GOUVEIA,90620,VILA FRANCA DA SERRA
GOUVEIA,90621,VILA NOVA DE TAZEM
GOUVEIA,90623,ALDEIAS
GOUVEIA,90624,FIGUEIRO DA SERRA
GOUVEIA,90625,GOUVEIA
GOUVEIA,90626,MELO
GOUVEIA,90627,MOIMENTA DA SERRA
GOUVEIA,90628,RIO TORTO
GRANDOLA,150501,AZINHEIRA DOS BARROS
GRANDOLA,150503,MELIDES
GRANDOLA,150505,CARVALHAL
GRANDOLA,150506,GRANDOLA
GUARDA,90703,ALDEIA DO BISPO
GUARDA,90704,ALDEIA VICOSA
GUARDA,90705,ALVENDRE
GUARDA,90706,ARRIFANA
GUARDA,90708,AVELAS DA RIBEIRA
GUARDA,90709,BENESPERA
GUARDA,90711,CASAL DE CINZA
GUARDA,90712,CASTANHEIRA
GUARDA,90713,CAVADOUDE
GUARDA,90714,CODESSEIRO
GUARDA,90716,FAIA
GUARDA,90717,FAMALICAO
GUARDA,90718,FERNAO JOANES
GUARDA,90721,GONCALO BOCAS
GUARDA,90722,JOAO ANTAO
GUARDA,90723,MACAINHAS
GUARDA,90724,MARMELEIRO
GUARDA,90725,MEIOS
GUARDA,90728,PANOIAS DE CIMA
GUARDA,90729,PEGA
GUARDA,90730,PERA DO MOCO
GUARDA,90732,PORTO DA CARNE
GUARDA,90734,RAMELA
GUARDA,90738,SANTANA DA AZINHA
GUARDA,90744,SOBRAL DA SERRA
GUARDA,90746,VALE DE ESTRELA
GUARDA,90747,VALHELHAS
GUARDA,90748,VELA
GUARDA,90749,VIDEMONTE
GUARDA,90750,VILA CORTES DO MONDEGO
GUARDA,90751,VILA FERNANDO
GUARDA,90752,VILA FRANCA DO DEAO
GUARDA,90753,VILA GARCIA
GUARDA,90757,GONCALO
GUARDA,90758,GUARDA
GUARDA,90759,JARMELO SAO MIGUEL
GUARDA,90760,JARMELO SAO PEDRO
GUARDA,90761,AVELAS DE AMBOM
GUARDA,90762,CORUJEIRA
GUARDA,90763,MIZARELA
GUARDA,90764,POUSADE
GUARDA,90765,ROCHOSO
GUARDA,90766,ADAO
GUIMARAES,30801,ALDAO
GUIMARAES,30804,AZUREM
GUIMARAES,30806,BARCO
GUIMARAES,30807,BRITO
GUIMARAES,30808,CALDELAS
GUIMARAES,30812,COSTA
GUIMARAES,30813,CREIXOMIL
GUIMARAES,30815,FERMENTOES
GUIMARAES,30820,GONCA
GUIMARAES,30821,GONDAR
GUIMARAES,30823,GUARDIZELA
GUIMARAES,30824,INFANTAS
GUIMARAES,30827,LONGOS
GUIMARAES,30828,LORDELO
GUIMARAES,30830,MESAO FRIO
GUIMARAES,30831,MOREIRA DE CONEGOS
GUIMARAES,30832,NESPEREIRA
GUIMARAES,30835,PENCELO
GUIMARAES,30836,PINHEIRO
GUIMARAES,30837,POLVOREIRA
GUIMARAES,30838,PONTE
GUIMARAES,30840,RONFE
GUIMARAES,30842,PRAZINS
GUIMARAES,30850,SELHO
GUIMARAES,30857,CANDOSO
GUIMARAES,30858,SANDE
GUIMARAES,30865,SAO TORCATO
GUIMARAES,30866,SERZEDELO
GUIMARAES,30868,SILVARES
GUIMARAES,30871,URGEZES
GUIMARAES,30875,ABACAO
GUIMARAES,30876,AIRAO SANTA MARIA
GUIMARAES,30877,AROSA
GUIMARAES,30878,ATAES
GUIMARAES,30879,BRITEIROS SANTO ESTEVAO
GUIMARAES,30880,BRITEIROS SAO SALVADOR
GUIMARAES,30881,CANDOSO SAO TIAGO
GUIMARAES,30882,CONDE
GUIMARAES,30883,LEITOES
GUIMARAES,30884,OLIVEIRA
GUIMARAES,30885,PRAZINS SANTO TIRSO
GUIMARAES,30886,SANDE SAO LOURENCO
GUIMARAES,30887,SANDE VILA NOVA
GUIMARAES,30888,SELHO SAO LOURENCO
GUIMARAES,30889,SERZEDO
GUIMARAES,30890,SOUTO SANTA MARIA
GUIMARAES,30891,TABUADELO
HORTA,470101,CAPELO
HORTA,470102,CASTELO BRANCO
HORTA,470103,CEDROS
HORTA,470104,FETEIRA
HORTA,470105,FLAMENGOS
HORTA,470106,HORTA
HORTA,470109,PEDRO MIGUEL
HORTA,470110,PRAIA DO ALMOXARIFE
HORTA,470111,PRAIA DO NORTE
HORTA,470112,RIBEIRINHA
HORTA,470113,SALAO
IDANHA-A-NOVA,50502,ALDEIA DE SANTA MARGARIDA
IDANHA-A-NOVA,50505,LADOEIRO
IDANHA-A-NOVA,50506,MEDELIM
IDANHA-A-NOVA,50509,OLEDO
IDANHA-A-NOVA,50510,PENHA GARCIA
IDANHA-A-NOVA,50511,PROENCA-A-VELHA
IDANHA-A-NOVA,50512,ROSMANINHAL
IDANHA-A-NOVA,50514,SAO MIGUEL DE ACHA
IDANHA-A-NOVA,50516,TOULOES
IDANHA-A-NOVA,50518,IDANHA-A-NOVA
IDANHA-A-NOVA,50519,MONFORTINHO
IDANHA-A-NOVA,50520,MONSANTO
IDANHA-A-NOVA,50521,ZEBREIRA
ILHAVO,11005,GAFANHA DA ENCARNACAO
ILHAVO,11006,GAFANHA DA NAZARE
ILHAVO,11007,GAFANHA DO CARMO
ILHAVO,11008,ILHAVO
LAGOA,80602,FERRAGUDO
LAGOA,80604,PORCHES
LAGOA,80607,ESTOMBAR
LAGOA,80608,LAGOA
LAGOA,420101,AGUA DE PAU
LAGOA,420102,CABOUCO
LAGOA,420103,LAGOA
LAGOA,420105,RIBEIRA CHA
LAGOS,80703,LUZ
LAGOS,80704,ODIAXERE
LAGOS,80707,BENSAFRIM
LAGOS,80708,LAGOS
LAJES DAS FLORES,480101,FAJA GRANDE
LAJES DAS FLORES,480102,FAJAZINHA
LAJES DAS FLORES,480103,FAZENDA
LAJES DAS FLORES,480104,LAJEDO
LAJES DAS FLORES,480105,LAJES DAS FLORES
LAJES DAS FLORES,480106,LOMBA
LAJES DAS FLORES,480107,MOSTEIRO
LAJES DO PICO,460101,CALHETA DE NESQUIM
LAJES DO PICO,460102,LAJES DO PICO
LAJES DO PICO,460103,PIEDADE
LAJES DO PICO,460104,RIBEIRAS
LAJES DO PICO,460105,RIBEIRINHA
LAJES DO PICO,460106,SAO JOAO
LAMEGO,180502,AVOES
LAMEGO,180504,BRITIANDE
LAMEGO,180505,CAMBRES
LAMEGO,180507,FERREIRIM
LAMEGO,180508,FERREIROS DE AVOES
LAMEGO,180509,FIGUEIRA
LAMEGO,180510,LALIM
LAMEGO,180511,LAZARIM
LAMEGO,180516,PENAJOIA
LAMEGO,180517,PENUDE
LAMEGO,180519,SAMODAES
LAMEGO,180520,SANDE
LAMEGO,180523,VARZEA DE ABRUNHAIS
LAMEGO,180524,VILA NOVA DE SOUTO D'EL-REI
LAMEGO,180525,LAMEGO
LAMEGO,180526,BIGORNE
LAMEGO,180527,CEPOES
LAMEGO,180528,PARADA DO BISPO
LEIRIA,100901,AMOR
LEIRIA,100902,ARRABAL
LEIRIA,100907,CARANGUEJEIRA
LEIRIA,100909,COIMBRAO
LEIRIA,100913,MACEIRA
LEIRIA,100915,MILAGRES
LEIRIA,100921,REGUEIRA DE PONTES
LEIRIA,100925,BAJOUCA
LEIRIA,100926,BIDOEIRA DE CIMA
LEIRIA,100932,COLMEIAS
LEIRIA,100933,LEIRIA
LEIRIA,100934,MARRAZES
LEIRIA,100935,MONTE REAL
LEIRIA,100936,MONTE REDONDO
LEIRIA,100937,PARCEIROS
LEIRIA,100938,SANTA CATARINA DA SERRA
LEIRIA,100939,SANTA EUFEMIA
LEIRIA,100940,SOUTO DA CARPALHOSA
LISBOA,110601,AJUDA
LISBOA,110602,ALCANTARA
LISBOA,110607,BEATO
LISBOA,110608,BENFICA
LISBOA,110610,CAMPOLIDE
LISBOA,110611,CARNIDE
LISBOA,110618,LUMIAR
LISBOA,110621,MARVILA
LISBOA,110633,OLIVAIS
LISBOA,110639,SAO DOMINGOS DE BENFICA
LISBOA,110654,ALVALADE
LISBOA,110655,AREEIRO
LISBOA,110656,ARROIOS
LISBOA,110657,AVENIDAS NOVAS
LISBOA,110658,BELEM
LISBOA,110659,CAMPO DE OURIQUE
LISBOA,110660,ESTRELA
LISBOA,110661,MISERICORDIA
LISBOA,110662,PARQUE DAS NACOES
LISBOA,110663,PENHA DE FRANCA
LISBOA,110664,SANTA CLARA
LISBOA,110665,SANTA MARIA MAIOR
LISBOA,110666,SANTO ANTONIO
LISBOA,110667,SAO VICENTE
LOULE,80801,ALMANCIL
LOULE,80802,ALTE
LOULE,80803,AMEIXIAL
LOULE,80804,BOLIQUEIME
LOULE,80805,QUARTEIRA
LOULE,80807,SALIR
LOULE,80808,LOULE
LOULE,80812,QUERENCA
LOURES,110702,BUCELAS
LOURES,110705,FANHOES
LOURES,110707,LOURES
LOURES,110708,LOUSA
LOURES,110726,MOSCAVIDE
LOURES,110727,SACAVEM
LOURES,110728,SANTA IRIA DE AZOIA
LOURES,110729,SANTO ANTAO
LOURES,110730,SANTO ANTONIO DOS CAVALEIROS
LOURES,110731,CAMARATE
LOURINHA,110803,MOITA DOS FERREIROS
LOURINHA,110805,REGUENGO GRANDE
LOURINHA,110806,SANTA BARBARA
LOURINHA,110808,VIMEIRO
LOURINHA,110810,RIBAMAR
LOURINHA,110812,LOURINHA
LOURINHA,110813,MIRAGAIA
LOURINHA,110814,SAO BARTOLOMEU DOS GALEGOS
LOUSA,60704,SERPINS
LOUSA,60706,GANDARAS
LOUSA,60707,FOZ DE AROUCE
LOUSA,60708,LOUSA
LOUSADA,130502,AVELEDA
LOUSADA,130504,CAIDE DE REI
LOUSADA,130510,LODARES
LOUSADA,130512,MACIEIRA
LOUSADA,130513,MEINEDO
LOUSADA,130515,NEVOGILDE
LOUSADA,130524,SOUSELA
LOUSADA,130525,TORNO
LOUSADA,130526,VILAR DO TORNO
LOUSADA,130527,CERNADELO
LOUSADA,130528,CRISTELOS
LOUSADA,130529,FIGUEIRAS
LOUSADA,130530,LUSTOSA
LOUSADA,130531,NESPEREIRA
LOUSADA,130532,SILVARES
MACAO,141302,AMENDOA
MACAO,141303,CARDIGOS
MACAO,141304,CARVOEIRO
MACAO,141305,ENVENDOS
MACAO,141307,ORTIGA
MACAO,141309,MACAO
MACEDO DE CAVALEIROS,40502,AMENDOEIRA
MACEDO DE CAVALEIROS,40503,ARCAS
MACEDO DE CAVALEIROS,40507,CARRAPATAS
MACEDO DE CAVALEIROS,40509,CHACIM
MACEDO DE CAVALEIROS,40510,CORTICOS
MACEDO DE CAVALEIROS,40511,CORUJAS
MACEDO DE CAVALEIROS,40514,FERREIRA
MACEDO DE CAVALEIROS,40515,GRIJO
MACEDO DE CAVALEIROS,40516,LAGOA
MACEDO DE CAVALEIROS,40517,LAMALONGA
MACEDO DE CAVALEIROS,40518,LAMAS
MACEDO DE CAVALEIROS,40519,LOMBO
MACEDO DE CAVALEIROS,40520,MACEDO DE CAVALEIROS
MACEDO DE CAVALEIROS,40521,MORAIS
MACEDO DE CAVALEIROS,40523,OLMOS
MACEDO DE CAVALEIROS,40524,PEREDO
MACEDO DE CAVALEIROS,40526,SALSELAS
MACEDO DE CAVALEIROS,40528,SEZULFE
MACEDO DE CAVALEIROS,40530,TALHAS
MACEDO DE CAVALEIROS,40532,VALE BENFEITO
MACEDO DE CAVALEIROS,40533,VALE DA PORCA
MACEDO DE CAVALEIROS,40534,VALE DE PRADOS
MACEDO DE CAVALEIROS,40536,VILARINHO DE AGROCHAO
MACEDO DE CAVALEIROS,40538,VINHAS
MACEDO DE CAVALEIROS,40539,ALA
MACEDO DE CAVALEIROS,40540,BORNES
MACEDO DE CAVALEIROS,40541,CASTELAOS
MACEDO DE CAVALEIROS,40542,ESPADANEDO
MACEDO DE CAVALEIROS,40543,PODENCE
MACEDO DE CAVALEIROS,40544,TALHINHAS
MACHICO,310401,AGUA DE PENA
MACHICO,310402,CANICAL
MACHICO,310403,MACHICO
MACHICO,310404,PORTO DA CRUZ
MACHICO,310405,SANTO ANTONIO DA SERRA
MADALENA,460201,BANDEIRAS
MADALENA,460202,CANDELARIA
MADALENA,460203,CRIACAO VELHA
MADALENA,460204,MADALENA
MADALENA,460205,SAO CAETANO
MADALENA,460206,SAO MATEUS
MAFRA,110902,CARVOEIRA
MAFRA,110904,ENCARNACAO
MAFRA,110906,ERICEIRA
MAFRA,110909,MAFRA
MAFRA,110911,MILHARADO
MAFRA,110913,SANTO ISIDORO
MAFRA,110918,AZUEIRA
MAFRA,110919,ENXARA DO BISPO
MAFRA,110920,IGREJA NOVA
MAFRA,110921,MALVEIRA
MAFRA,110922,VENDA DO PINHEIRO
MAIA,130601,AGUAS SANTAS
MAIA,130603,FOLGOSA
MAIA,130608,MILHEIROS
MAIA,130609,MOREIRA
MAIA,130613,SAO PEDRO FINS
MAIA,130616,VILA NOVA DA TELHA
MAIA,130617,PEDROUCOS
MAIA,130618,CASTELO DA MAIA
MAIA,130619,CIDADE DA MAIA
MAIA,130620,NOGUEIRA
MANGUALDE,180601,ABRUNHOSA-A-VELHA
MANGUALDE,180602,ALCAFACHE
MANGUALDE,180605,CUNHA BAIXA
MANGUALDE,180606,ESPINHO
MANGUALDE,180607,FORNOS DE MACEIRA DAO
MANGUALDE,180608,FREIXIOSA
MANGUALDE,180614,QUINTELA DE AZURARA
MANGUALDE,180616,SAO JOAO DA FRESTA
MANGUALDE,180619,MANGUALDE
MANGUALDE,180620,MOIMENTA DE MACEIRA DAO
MANGUALDE,180621,SANTIAGO DE CASSURRAES
MANGUALDE,180622,TAVARES
MANTEIGAS,90801,SAMEIRO
MANTEIGAS,90802,MANTEIGAS
MANTEIGAS,90804,VALE DE AMOREIRA
MARCO DE CANAVESES,130704,BANHO
MARCO DE CANAVESES,130705,CONSTANCE
MARCO DE CANAVESES,130722,SOALHAES
MARCO DE CANAVESES,130723,SOBRETAMEGA
MARCO DE CANAVESES,130724,TABUADO
MARCO DE CANAVESES,130730,VILA BOA DO BISPO
MARCO DE CANAVESES,130732,ALPENDORADA
MARCO DE CANAVESES,130733,AVESSADAS
MARCO DE CANAVESES,130734,BEM VIVER
MARCO DE CANAVESES,130735,SANTO ISIDORO
MARCO DE CANAVESES,130736,MARCO
MARCO DE CANAVESES,130737,PAREDES DE VIADORES
MARCO DE CANAVESES,130738,PENHALONGA
MARCO DE CANAVESES,130739,SANDE
MARCO DE CANAVESES,130740,VARZEA
MARCO DE CANAVESES,130741,VILA BOA DE QUIRES
MARINHA GRANDE,101001,MARINHA GRANDE
MARINHA GRANDE,101002,VIEIRA DE LEIRIA
MARINHA GRANDE,101003,MOITA
MARVAO,121001,BEIRA
MARVAO,121002,SANTA MARIA DE MARVAO
MARVAO,121003,SANTO ANTONIO DAS AREIAS
MARVAO,121004,SAO SALVADOR DA ARAMENHA
MATOSINHOS,130811,CUSTOIAS
MATOSINHOS,130812,MATOSINHOS
MATOSINHOS,130813,PERAFITA
MATOSINHOS,130814,SAO MAMEDE DE INFESTA
MEALHADA,11102,BARCOUCO
MEALHADA,11103,CASAL COMBA
MEALHADA,11104,LUSO
MEALHADA,11106,PAMPILHOSA
MEALHADA,11107,VACARICA
MEALHADA,11109,MEALHADA
MEDA,90901,AVELOSO
MEDA,90902,BARREIRA
MEDA,90905,CORISCADA
MEDA,90907,LONGROIVA
MEDA,90908,MARIALVA
MEDA,90912,POCO DO CANTO
MEDA,90914,RABACAL
MEDA,90915,RANHADOS
MEDA,90917,MEDA
MEDA,90918,PROVA
MEDA,90919,VALE FLOR
MELGACO,160301,ALVAREDO
MELGACO,160304,COUSSO
MELGACO,160305,CRISTOVAL
MELGACO,160307,FIAES
MELGACO,160308,GAVE
MELGACO,160311,PADERNE
MELGACO,160313,PENSO
MELGACO,160317,SAO PAIO
MELGACO,160319,CASTRO LABOREIRO
MELGACO,160320,CHAVIAES
MELGACO,160321,PARADA DO MONTE
MELGACO,160322,PRADO
MELGACO,160323,VILA
MERTOLA,20901,ALCARIA RUIVA
MERTOLA,20902,CORTE DO PINTO
MERTOLA,20903,ESPIRITO SANTO
MERTOLA,20904,MERTOLA
MERTOLA,20905,SANTANA DE CAMBAS
MERTOLA,20906,SAO JOAO DOS CALDEIREIROS
MERTOLA,20910,SAO MIGUEL DO PINHEIRO
MESAO FRIO,170401,BARQUEIROS
MESAO FRIO,170402,CIDADELHE
MESAO FRIO,170403,OLIVEIRA
MESAO FRIO,170407,VILA MARIM
MESAO FRIO,170408,MESAO FRIO
MIRA,60801,MIRA
MIRA,60802,SEIXO
MIRA,60803,CARAPELHOS
MIRA,60804,PRAIA DE MIRA
MIRANDA DO CORVO,60901,LAMAS
MIRANDA DO CORVO,60902,MIRANDA DO CORVO
MIRANDA DO CORVO,60905,VILA NOVA
MIRANDA DO CORVO,60906,SEMIDE
MIRANDA DO DOURO,40604,DUAS IGREJAS
MIRANDA DO DOURO,40605,GENISIO
MIRANDA DO DOURO,40607,MALHADAS
MIRANDA DO DOURO,40608,MIRANDA DO DOURO
MIRANDA DO DOURO,40609,PALACOULO
MIRANDA DO DOURO,40611,PICOTE
MIRANDA DO DOURO,40612,POVOA
MIRANDA DO DOURO,40613,SAO MARTINHO DE ANGUEIRA
MIRANDA DO DOURO,40616,VILA CHA DE BRACIOSA
MIRANDA DO DOURO,40618,CONSTANTIM
MIRANDA DO DOURO,40619,IFANES
MIRANDA DO DOURO,40620,SENDIM
MIRANDA DO DOURO,40621,SILVA
MIRANDELA,40701,ABAMBRES
MIRANDELA,40702,ABREIRO
MIRANDELA,40703,AGUIEIRAS
MIRANDELA,40704,ALVITES
MIRANDELA,40708,BOUCA
MIRANDELA,40709,CABANELAS
MIRANDELA,40710,CARAVELAS
MIRANDELA,40711,CARVALHAIS
MIRANDELA,40712,CEDAES
MIRANDELA,40713,COBRO
MIRANDELA,40714,FRADIZELA
MIRANDELA,40716,FRECHAS
MIRANDELA,40718,LAMAS DE ORELHAO
MIRANDELA,40720,MASCARENHAS
MIRANDELA,40721,MIRANDELA
MIRANDELA,40722,MURIAS
MIRANDELA,40724,PASSOS
MIRANDELA,40727,SAO PEDRO VELHO
MIRANDELA,40728,SAO SALVADOR
MIRANDELA,40729,SUCAES
MIRANDELA,40730,TORRE DE DONA CHAMA
MIRANDELA,40731,VALE DE ASNES
MIRANDELA,40732,VALE DE GOUVINHAS
MIRANDELA,40733,VALE DE SALGUEIRO
MIRANDELA,40734,VALE DE TELHAS
MIRANDELA,40738,AVANTOS
MIRANDELA,40739,AVIDAGOS
MIRANDELA,40740,BARCEL
MIRANDELA,40741,FRANCO
MIRANDELA,40742,FREIXEDA
MOGADOURO,40801,AZINHOSO
MOGADOURO,40802,BEMPOSTA
MOGADOURO,40803,BRUCO
MOGADOURO,40804,BRUNHOSO
MOGADOURO,40807,CASTELO BRANCO
MOGADOURO,40808,CASTRO VICENTE
MOGADOURO,40809,MEIRINHOS
MOGADOURO,40811,PARADELA
MOGADOURO,40812,PENAS ROIAS
